registration_no,category,name,email,telephone,address,validity,exchange_name,trade_name
:,Banker to an Issue,,,,,,,
INBI00001203,Banker to an Issue,AU Small Finance Bank Limited,manmohan.parnami@aubank.in,911416640275,"19-A, Dhuleshwar garden, Ajmer road, JAIPUR, RAJASTHAN, 302021","May 24, 2018 - Perpetual",,
INBI00000017,Banker to an Issue,AXIS BANK LTD (FORMERLY UTI BANK LIMITED),,24252204,"3RD FLOOR, TRISHUL ,OPP. SAMARTHESWAR TEMPLE, , LAW GARDEN, EILLS BRIDGE,, AHMEDABAD, GUJARAT, 380006","Nov 16, 2015 - Perpetual",,
INBI00001197,Banker to an Issue,Bandhan Bank Limited,sidheswar.sahu@bandhanbank.com,913366090909,"DN 32 Sector V , Salt lake City, KOLKATA, WEST BENGAL, 700091","Mar 09, 2018 - Perpetual",,
INBI00000030,Banker to an Issue,BANK OF BARODA,govtbusiness.ho@bankofbaroda.com,02652363261,"HEAD OFFICE, SURAJ PLAZA 1, SAYAJIGANJ, VADODARA, GUJARAT, 390005","Aug 08, 2016 - Perpetual",,
INBI00000009,Banker to an Issue,BANK OF INDIA,,"02266684594,93","STAR HOUSE, C-5, G BLOCK, BANDRA KURLA COMPLEX, BANDRA (E), MUMBAI, MAHARASHTRA, 400051","Jul 29, 2013 - Perpetual",,
INBI00000066,Banker to an Issue,BANK OF MAHARASHTRA,,02222780302,"MERCHANT BANKING CELL,APEEJAY HOUSE,1ST FLOOR, 130,DR.V.B.GANDHI MARG,FORT, MUMBAI, MAHARASHTRA, 400023","Jun 28, 2013 - Perpetual",,
INBI00000950,Banker to an Issue,BARCLAYS BANK PLC,,67196132,"801/808 Ceejay House, Shivsagar Estate, Dr.Annie Besant Road, Worli, Mumbai, MUMBAI, MAHARASHTRA, 400018","Sep 03, 2012 - Perpetual",,
INBI00000893,Banker to an Issue,BNP PARIBAS,,61964655,"FRENCH BANK BLDG, 1ST FLOOR,, 62 HOMJI STREET, FORT, MUMBAI, MAHARASHTRA, 400001","Jun 01, 2015 - Perpetual",,
INBI00000019,Banker to an Issue,CANARA BANK,,08022100250,"Prime corporate credit wing,Head office, 112 J C Road, BANGALORE, KARNATAKA, 560002","Nov 16, 2015 - Perpetual",,
INBI00001267,Banker to an Issue,Capital Small Finance Bank Limited,cs@capitalbank.co.in,9101815051111,"Midas Corporate Park, 3rd Floor 37 GT Road, JALANDHAR, PUNJAB, 144001","Apr 21, 2023 - Perpetual",,
INBI00000012,Banker to an Issue,CENTRAL BANK OF INDIA,,+91+919819057816,"CHANDRAMUKHI, NARIMAN POINT, MUMBAI, MAHARASHTRA, 400021","Nov 16, 2015 - Perpetual",,
INBI00000037,Banker to an Issue,CITIBANK,,022 40015582,"FIFC, PLOT C-54/55, BANDRA KURLA COMPLEX, G-BLOCK, BANDRA (E), MUMBAI, MAHARASHTRA, 400051","Dec 01, 2015 - Perpetual",,
INBI00000074,Banker to an Issue,CITY UNION BANK LTD.,,04352402322,"149 TSR (BIG)STREET, TAMIL NADU, 612001","Aug 11, 2014 - Perpetual",,
INBI00001164,Banker to an Issue,CSB Bank Ltd,cco@csb.co.in,09104876619300,"CSB BHAVAN, HEAD OFFICE, PB NO 502, THRISSUR, KERALA, 680020","May 31, 2016 - Perpetual",,
INBI00001230,Banker to an Issue,DBS BANK INDIA LTD.,complianceindia@dbs.com,910226629754,"DBS BANK INDIA LIMITED, Ground Floor Nos.11 & 12, Capitol Point, Baba Kharak Singh Marg, CONNAUGHT PLACE, DELHI, New Delhi, Delhi, India, 110001, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","Feb 03, 2022 - Perpetual",,
INBI00000086,Banker to an Issue,DCB Bank Limited,barve@dcbbank.com,,"601&602, Peninsula Business Park, Tower A, 6th floor, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Jul 16, 2016 - Perpetual",,
INBI00000003,Banker to an Issue,DEUTSCHE BANK,,022 71584040,"222, KODAK HOUSE, DR DN ROAD , FORT, MUMBAI, MAHARASHTRA, 400001","Nov 01, 2015 - Perpetual",,
INBI00001115,Banker to an Issue,DHANLAXMI BANK,,914876617000,"P>B. NO.9, DHANALAKSHMI BUILDING, NAICKANAL, THRISSUR, KERALA, 680001","Jul 04, 2014 - Perpetual",,
INBI00001221,Banker to an Issue,Equitas Small Finance Bank Limited,secretarial@equitas.in,9104442995000,"4th floor,Phase-2,Spencer Plaza,, No.769,Mount Road, Anna Salai, CHENNAI, TAMIL NADU, 600002","Mar 30, 2021 - Perpetual",,
INBI00000063,Banker to an Issue,HDFC BANK LTD,paresh.soni@hdfcbank.com,,"HDFC Bank House, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","Feb 01, 2016 - Perpetual",,
INBI00000004,Banker to an Issue,ICICI BANK LTD. (FORMERLY ICICI BANKING CORPORATION LTD),,2222859905,"LANDMARK, RACE COURSE CIRCLE, VADODARA, GUJARAT, 390007","Nov 01, 2015 - Perpetual",,
INBI00000076,Banker to an Issue,IDBI BANK LTD.,,02222162138,"IDBI TOWER, WTC COMPLEX,, CUFFEPARADE, MUMBAI, MUMBAI, MAHARASHTRA, 400005","Feb 07, 2014 - Perpetual",,
INBI00001149,Banker to an Issue,IDFC FIRST BANK LIMITED,,912242222016,"KRM TOWER, 8TH FLOOR, NO.1,, HARRINGTON ROAD, CHETPET, CHENNAI, TAMIL NADU, 600031","Mar 14, 2016 - Perpetual",,
INBI00000053,Banker to an Issue,INDIAN BANK,,04428134111,"INDIAN BANK,Corporate Office, , 254-260, Avvai Shanmugham Salai, Royapettah, CHENNAI, TAMIL NADU, 600014","Dec 01, 2015 - Perpetual",,
INBI00000044,Banker to an Issue,INDIAN OVERSEAS BANK,,+91+919444951093,"763, Anna Salai, CHENNAI, TAMIL NADU, 600002","Dec 02, 2015 - Perpetual",,
INBI00000002,Banker to an Issue,INDUSIND BANK LTD,,66803226,"2401, GEN THIMMAYYA ROAD, CANTONMENT, PUNE, MAHARASHTRA, 411001","Oct 16, 2015 - Perpetual",,
